Class,Skill Name,Skill Description,Rune 1 Name,Rune 1 Description,Rune 2 Name,Rune 2 Description,Rune 3 Name,Rune 3 Description,Rune 4 Name,Rune 4 Description,Rune 5 Name,Rune 5 Description

Barbarian,Call of the Ancients,"Cooldown: 120 seconds - Summon the ancient Barbarians Talic, Korlic, and Madawc to fight alongside you for 20 seconds. Each deals 270% weapon damage per swing in addition to bonus abilities. -  Talic wields a sword and shield and uses Whirlwind and Leap. Korlic wields a massive polearm and uses Cleave and Furious Charge. Madawc dual-wields axes and uses Weapon Throw and Seismic Slam.",The Council Rises,The Ancients deal 540% weapon damage as Fire with each attack.,Duty to the Clan,Enemies hit by the Ancients are Chilled for 2 seconds and have 10% increased chance to be Critically Hit.The Ancients' damage turns into Cold.,Ancients' Blessing,Each point of Fury you spend heals you and your Ancients for 966 Life.,Ancients' Fury,Gain 4 Fury every time an Ancient deals damage.,Together as One,50% of all damage dealt to you is instead divided evenly between the Ancients.The Ancients' damage turns into Lightning.

Barbarian,Seismic Slam,Cost: 30 Fury - Slam the ground and cause a wave of destruction that deals 620% weapon damage to enemies up to 50 yards in front of you.,Stagger,Reduce the cost to 22 Fury.Seismic Slam's damage turns into Lightning.,Shattered Ground,Increase damage to 735% weapon damage as Fire and knocks all enemies hit up into the air.,Rumble,"Expend all remaining Fury to cause the ground to shudder after the initial strike, damaging enemies in the area for 15% weapon damage for every point of Fury expended as Physical over 2 seconds.",Strength from Earth,Gain 1% of your maximum Life for every enemy hit.,Permafrost,Create a sheet of frost that deals 755% weapon damage as Cold and Chills enemies by 60% for 1 second.

Barbarian,Weapon Throw,Generate: 6 Fury per attack - Hurl a throwing weapon at an enemy dealing 275% weapon damage.,Mighty Throw,Increase thrown weapon damage to 400% weapon damage as Lightning.,Ricochet,The weapon ricochets to 3 enemies within 20 yards of each other.Weapon Throw's damage turns into Fire.,Throwing Hammer,Hurl a hammer with a 40% chance to Stun the enemy for 1 second.,Stupefy,"Aim for the head, gaining a 15% chance of causing your enemy to be Confused and attack other enemies for 3 seconds.",Balanced Weapon,Increase Fury generated to 9.Weapon Throw's damage turns into Fire.

Barbarian,Threatening Shout,"Generate: 15 Fury - Cooldown: 10 seconds - Shout with great ferocity, reducing damage done by enemies within 25 yards by 20% for 15 seconds.",Intimidate,Affected enemies also have their movement speed reduced by 60%.,Falter,Enemies instead take 25% increased damage for 6 seconds.,Grim Harvest,Enemies are badly shaken and have a chance to drop health globes.,Demoralize,Affected enemies are also taunted to attack you for 4 seconds.,Terrify,Enemies are severely demoralized. Each enemy has a 100% chance to flee in Fear for 3 seconds.

Barbarian,Avalanche,Cooldown: 30 seconds - Cause a massive avalanche of rocks to fall on an area dealing 2400% weapon damage to all enemies caught in its path. - Cooldown is reduced by 1 second for every 25 Fury you spend.,Volcano,"Chunks of molten lava are randomly launched at nearby enemies, dealing 6600% weapon damage as Fire over 5 seconds.",Lahar,Cooldown is reduced by 1 second for every 15 Fury spent.,Snow-Capped Mountain,"Cave-in from both sides pushes enemies together, dealing 2800% weapon damage as Cold and Slowing them by 60% for 3 seconds.",Tectonic Rift,Store up to 3 charges of Avalanche.,Glacier,Giant blocks of ice hit enemies for 2400% weapon damage as Cold and Freeze them.
